Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Input 21,Input 22,Input 23,Input 24,Input 25,Input 26,Input 27,Input 28,Input 29,Input 30,Input 31,Input 32,Input 33,Input 34,Input 35,Input 36,Input 37,Input 38,Input 39,Input 40,Input 41,Input 42,Input 43,Input 44,Input 45,Input 46,Input 47,Input 48,Input 49,Input 50,Input 51,Input 52,Input 53,Input 54,Input 55,Input 56,Input 57,Input 58,Input 59,Input 60,Input 61,Input 62,Input 63,Input 64,Input 65,Input 66,Input 67,Input 68,Input 69,Input 70,Input 71,Input 72,Input 73,Input 74,Input 75,Input 76,Input 77,Input 78,Input 79,Input 80,Input 81,Input 82,Input 83,Input 84,Input 85,Input 86,Input 87,Input 88,Input 89,Input 90,Input 91,Input 92,Input 93,Input 94,Input 95,Input 96,Input 97,Input 98,Input 99,Input 100,Input 101,Input 102,Input 103,Input 104,Input 105,Input 106,Input 107,Input 108,Input 109,Input 110,Input 111,Input 112,Input 113,Input 114,Output 2
0.006720409,0.007941324,0.010515553,0.021924355,0.028817398,0.181597982,0.190144511,0.050909993,0.031831759,0.013580512,0.006142324,0.006553834,0.004850315,0.002959462,0.01341131,0.008466469,0.00307962,0.004749718,0.007300859,0.007170462,0.005859901,0.002315829,0.002029006,0.001982601,0.001884205,0.001796827,0.001720617,0.001652651,0.001591568,0.001536388,0.001486284,0.001440629,0.003095349,0.005341052,0.012200063,0.034841291,0.054328623,0.348614258,0.357029541,0.10059197,0.061228811,0.017988583,0.056139547,0.014444438,0.010887661,0.013691755,0.006235116,0.01307089,0.008190521,0.00889548,0.003079341,0.010750275,0.003380925,0.003920326,0.004463545,0.004313298,0.004134077,0.003973244,0.003828673,0.003696354,0.003575097,0.003463727,0.003361225,0.003266778,0.028993841,0.030378787,0.039296783,0.076506337,0.098969818,0.594356649,0.630126587,0.165656779,0.097348033,0.035561124,0.034828275,0.014308891,0.014762896,0.00663367,0.034269903,0.023972204,0.008579561,0.010493376,0.007853642,0.004461056,0.010490527,0.004413959,0.004922378,0.004863001,0.004622912,0.004409454,0.004221293,0.004052425,0.003900102,0.003762256,0.003636972,0.003522781,0.019645098,0.037065814,0.062143775,-0.017420716,-0.025077961,0.042498677,0.1875,0.190144511,0.1875,0.357029541,0.1875,0.630126587,0.044240081,0.084391732,0.146527748,0.125281169,0.122862189,0.125159141,0.189873418
0.002223833,0.00306433,0.006667104,0.017315871,0.017429175,0.177911051,0.198996195,0.070991882,0.025670731,0.020409804,0.003569986,0.008809457,0.005558238,0.006279537,0.011193292,0.006952565,0.003519383,0.004111012,0.005543317,0.010730849,0.002377879,0.002490939,0.002415964,0.002255828,0.002167103,0.002082535,0.002004599,0.001933406,0.00186835,0.001808777,0.001754091,0.001703817,0.011558444,0.013759117,0.018820348,0.039283696,0.036209882,0.327987976,0.379285604,0.13078127,0.044782349,0.008108554,0.048193741,0.01296148,0.006840302,0.01184417,0.003307651,0.016237247,0.001042094,0.0088693,0.002097443,0.007183376,0.00329891,0.003878304,0.003383654,0.003287645,0.003178901,0.003060692,0.002947339,0.002842187,0.002745557,0.002656798,0.002575222,0.002500215,0.013334593,0.016821749,0.026247955,0.059354568,0.059884145,0.584679484,0.655689331,0.230846171,0.08337291,0.059960566,0.03113649,0.027996096,0.015531244,0.016375854,0.026259338,0.012822678,0.013220214,0.014187791,0.011233865,0.012795839,0.005299357,0.009813361,0.007780963,0.007121779,0.006786184,0.006490432,0.0062285,0.005994476,0.005783576,0.005592247,0.005417794,0.005258255,0.019726392,0.036136942,0.063784219,-0.016410549,-0.027647277,0.044057826,0.1875,0.198996195,0.1875,0.379285604,0.1875,0.655689331,0.045461878,0.085773003,0.149774336,0.121997941,0.12254013,0.122553069,0.189873418
0.004198837,0.004513394,0.007541664,0.016867466,0.011079077,0.172342143,0.206256165,0.078994802,0.028837891,0.01774248,0.00528701,0.008210033,0.006787917,0.008031336,0.010163362,0.010834553,0.006554272,0.002069341,0.002147512,0.007548974,0.003370027,0.001042354,0.001668649,0.001740056,0.00169885,0.00165239,0.001604306,0.001556874,0.001511548,0.001468751,0.001428588,0.00139105,0.017433024,0.017680777,0.022445196,0.038425596,0.028236895,0.317419271,0.389763265,0.142383067,0.045762889,0.018822305,0.042314026,0.015404597,0.004419723,0.011114412,0.006242922,0.003974701,0.009996476,0.003783918,0.005255161,0.002711814,0.003877019,0.002005052,0.001612148,0.001422942,0.001298751,0.00121392,0.001144113,0.001083857,0.001031187,9.85E-04,9.43E-04,9.06E-04,0.004976046,0.010032925,0.021297512,0.053662643,0.031272013,0.568692546,0.677778483,0.26234495,0.098174337,0.059641459,0.03621094,0.028267367,0.020974569,0.021003961,0.027235764,0.021036846,0.021505267,0.011931119,0.007818006,0.010557616,0.011013922,0.005378352,0.006590238,0.006655346,0.006438057,0.006221982,0.006014924,0.005819469,0.005637302,0.005468115,0.005311226,0.005165831,0.019790589,0.035767232,0.064693252,-0.015976643,-0.02892602,0.044902663,0.1875,0.206256165,0.1875,0.389763265,0.1875,0.677778483,0.046150484,0.086594118,0.152149511,0.121564272,0.123107572,0.121025824,0.189873418
0.007557217,0.008648899,0.010808172,0.019465902,0.013607026,0.171517761,0.207170471,0.074984161,0.031548068,0.013126488,0.005323,0.006897011,0.006171338,0.006869935,0.009174872,0.014613768,0.002458178,0.001456625,0.005831821,0.003610394,0.003042965,0.0021527,0.001427529,0.001236503,0.001150258,0.001087983,0.00103566,9.90E-04,9.51E-04,9.15E-04,8.83E-04,8.55E-04,0.015834991,0.017716782,0.0216919,0.037599258,0.027414675,0.318083374,0.386818604,0.137924581,0.056896515,0.027789637,0.03857947,0.025681129,0.005775402,0.006202089,0.014634101,0.01376091,0.003858834,0.00477477,0.004378072,0.008081143,0.00179285,0.001227273,0.001777673,0.001586764,0.001480309,0.001388251,0.001310689,0.001243398,0.001184017,0.001131336,0.001084253,0.001042001,0.021526199,0.022691213,0.03070032,0.059171021,0.042926381,0.57170048,0.681124349,0.251332275,0.108177134,0.048130676,0.032786908,0.031588066,0.019488537,0.019802484,0.018121159,0.031190254,0.001871851,0.008328448,0.004747322,0.01570418,0.001943149,0.006111731,0.005738464,0.005278306,0.005024427,0.004813519,0.004622355,0.004449183,0.00429217,0.004149138,0.004018418,0.003898685,0.01968252,0.03671606,0.064303479,-0.01703354,-0.027587419,0.044620959,0.1875,0.207170471,0.1875,0.386818604,0.1875,0.681124349,0.046106904,0.085954011,0.152807341,0.12297965,0.122651274,0.121792872,0.189873418
0.009480921,0.009514891,0.011918264,0.020342467,0.018410948,0.173286072,0.206640503,0.071888494,0.029670273,0.012471822,0.001680016,0.009082939,0.002697,0.006009841,0.007643579,0.006629094,0.006256233,0.001655783,0.004556243,0.005144527,0.001847102,9.27E-04,5.40E-04,4.72E-04,4.32E-04,3.92E-04,3.59E-04,3.30E-04,3.03E-04,2.80E-04,2.59E-04,2.41E-04,0.012579787,0.012805527,0.017590262,0.033954674,0.027201241,0.324593974,0.382065633,0.138281108,0.059695552,0.03439579,0.029324849,0.029650246,0.008683797,0.004885909,0.019453392,0.008874053,0.012232778,0.004427679,0.004453183,0.007485381,0.005391161,0.003343109,0.003233512,0.003040824,0.002901394,0.002782098,0.002671068,0.002570628,0.002479577,0.002396758,0.002321118,0.002251901,0.027851802,0.030519816,0.037532839,0.065377411,0.059316157,0.574388672,0.681381755,0.239691203,0.100223765,0.048374288,0.018050612,0.038082039,0.011779569,0.021933271,0.011351807,0.005777892,0.020795945,0.002003666,0.008710519,0.008520768,0.005859633,0.00256103,0.002351657,0.002338723,0.002242663,0.002134916,0.002036687,0.001946898,0.001865361,0.001791285,0.001723936,0.001662651,0.019128271,0.037425829,0.062935442,-0.018297558,-0.025509613,0.043807171,0.1875,0.206640503,0.1875,0.382065633,0.1875,0.681381755,0.046278687,0.085769566,0.153159707,0.123368627,0.121481223,0.122629973,0.189873418
0.008093976,0.009150087,0.011439831,0.020962513,0.017050439,0.173254395,0.20557078,0.071776047,0.029204447,0.012462844,0.005173221,0.006870541,0.003577409,0.002852532,0.005647868,0.001836239,9.30E-04,0.002022098,0.002720135,0.006734634,0.001052142,0.001012979,0.001146638,0.001090213,0.001038545,9.92E-04,9.49E-04,9.10E-04,8.74E-04,8.42E-04,8.12E-04,7.85E-04,0.0039825,0.006604005,0.012197484,0.030664993,0.026281298,0.332202087,0.381076375,0.141437022,0.059839869,0.043017075,0.023464498,0.029455455,0.012990566,0.004081463,0.015007895,0.006094446,0.003790641,0.00712028,0.008467027,0.001718529,0.007852207,0.005224528,0.004366199,0.004106663,0.003918706,0.003751157,0.003601335,0.003466487,0.003344624,0.00323396,0.003133029,0.003040705,0.030553139,0.031458326,0.039875999,0.071050669,0.056518799,0.567773682,0.67941984,0.236422445,0.096475555,0.048500443,0.016332676,0.029427132,0.016743019,0.014265816,0.020675336,0.029506505,0.006386475,0.001995571,0.008901318,0.007929725,0.002475756,0.002946742,0.002766265,0.002388614,0.002157684,0.001993341,0.001856834,0.001741756,0.001642419,0.001555648,0.001479031,0.001410981,0.018796932,0.03742208,0.062669515,-0.018625148,-0.025247435,0.043872583,0.1875,0.20557078,0.1875,0.381076375,0.1875,0.67941984,0.046190651,0.086649048,0.152051895,0.123284305,0.119965825,0.123317938,0.189873418
0.005799792,0.005941705,0.008563421,0.017551263,0.016430976,0.175487284,0.201779867,0.071249318,0.031532735,0.011645743,0.009292204,0.007401334,0.00309946,0.002466978,0.008491469,0.002849396,0.003454429,0.003415361,0.005617743,0.004662708,0.004124406,0.002472512,0.002097406,0.001966358,0.001863723,0.001775699,0.00169965,0.00163239,0.001572233,0.00151802,0.00146885,0.001424076,0.00340402,0.006176935,0.011979036,0.030510981,0.02878921,0.335775818,0.379505859,0.135905762,0.065036677,0.042438731,0.02190359,0.036622175,0.009833138,0.007292289,0.01320971,0.003671286,0.004735034,0.009392061,0.004052729,0.00787918,0.005180525,0.004564934,0.004436591,0.004216516,0.004017124,0.003839688,0.003683811,0.003545018,0.003420147,0.003306956,0.003203819,0.003109522,0.023060527,0.02583241,0.03325135,0.062059621,0.056514715,0.573284383,0.667700358,0.232388631,0.103177053,0.045036647,0.029385735,0.032843786,0.011059694,0.007497624,0.038480779,0.033188276,0.017598806,0.009396394,0.005035128,0.009439536,0.006785358,0.005026259,0.005034584,0.004939618,0.004756792,0.004566435,0.004389383,0.004226237,0.004076689,0.003939875,0.003814541,0.003699643,0.01924787,0.037633057,0.064125636,-0.018385187,-0.026492579,0.044877766,0.1875,0.201779867,0.1875,0.379505859,0.1875,0.667700358,0.045729152,0.086680911,0.15040348,0.122558089,0.120014221,0.122718166,0.189873418
7.61E-04,0.002695525,0.006050422,0.016079185,0.013323933,0.175111206,0.199511414,0.072774246,0.031348928,0.01146884,0.012721676,0.006522961,0.005022527,0.003946216,0.009998698,0.005209478,0.0054222,0.00391121,0.006378651,0.002489683,0.004538187,0.003222782,0.002552492,0.00236801,0.002239066,0.002131238,0.002038732,0.001957816,0.00188591,0.001821313,0.001762836,0.001709637,0.012719987,0.012983292,0.017958049,0.035804853,0.032033808,0.3305755,0.38268986,0.133681458,0.062706863,0.04071184,0.025833633,0.033524663,0.01230964,0.008648713,0.013324019,0.008178052,0.00959856,0.006766623,0.001505124,0.009084715,0.001697071,0.003533936,0.003232128,0.003035555,0.002922434,0.002807544,0.002701332,0.002604016,0.002515008,0.002433447,0.002358608,0.002289823,0.011699225,0.01365977,0.023464877,0.055390203,0.045114777,0.575089111,0.659934937,0.239993327,0.102065297,0.044012624,0.044226954,0.029566722,0.014269913,0.008487556,0.048429611,0.029251554,0.023244441,0.017051842,0.00580157,0.012552353,0.007871354,0.007814137,0.007409376,0.007120375,0.006826565,0.006546225,0.006289703,0.006057256,0.005846127,0.005653734,0.005477827,0.005316677,0.019371126,0.037883645,0.064843918,-0.018512519,-0.026960273,0.045472792,0.1875,0.199511414,0.1875,0.38268986,0.1875,0.659934937,0.045377431,0.086357551,0.149515538,0.12169292,0.121287721,0.12152872,0.189873418
0.003693401,0.004959905,0.007721311,0.017292971,0.013997308,0.173775513,0.199723022,0.072525574,0.029566376,0.009355754,0.013676511,0.003751101,0.004874952,0.004204915,0.006465342,0.009451536,0.002390194,0.003065051,0.004918269,0.005186905,0.002577386,0.00245476,0.002247857,0.002093149,0.001985978,0.001897408,0.001820793,0.001752469,0.001690964,0.001635192,0.001584354,0.001537848,0.016707167,0.018730668,0.023030462,0.040723427,0.035746002,0.324651571,0.385119425,0.132320943,0.052841029,0.039327474,0.033573125,0.027127332,0.011337282,0.007428626,0.011020561,0.016949777,0.004236542,0.002945643,0.002947691,0.003578121,0.002956413,8.42E-04,0.001092063,0.001147396,0.001088753,0.001037749,9.88E-04,9.42E-04,9.01E-04,8.62E-04,8.27E-04,7.96E-04,0.006273622,0.009749692,0.02145354,0.054719269,0.044533422,0.577310303,0.658789958,0.240133016,0.099951853,0.034958501,0.052051565,0.019710316,0.014294771,0.01175649,0.039604286,0.035886276,0.015493772,0.013207003,0.009103608,0.011638214,0.008239587,0.008905861,0.008439263,0.007832783,0.007408906,0.007062742,0.006766689,0.006504934,0.00627068,0.006059226,0.005867184,0.005692009,0.01911487,0.037121364,0.064216479,-0.018006494,-0.027095115,0.045101609,0.1875,0.199723022,0.1875,0.385119425,0.1875,0.658789958,0.04530609,0.086206148,0.149720148,0.122078462,0.122290758,0.121548759,0.189873418
0.008171176,0.008273421,0.010851493,0.020612712,0.019611712,0.174963216,0.200923055,0.06667219,0.029392721,0.005040283,0.013911961,0.003441524,0.002406992,0.005540353,0.001349319,0.006650855,0.003361485,0.002905206,0.0024235,0.006247025,9.09E-04,8.53E-04,0.001196626,0.001234797,0.001208616,0.001172449,0.00113306,0.001094692,0.001058509,0.001024743,9.93E-04,9.64E-04,0.017951164,0.018274905,0.023081477,0.040959666,0.038380015,0.325440633,0.379187419,0.123232035,0.05249025,0.029231987,0.041606712,0.025506983,0.006052106,0.006646002,0.016212625,0.017537295,0.004013368,0.00387608,0.006726644,0.002536161,0.003645265,0.002291237,0.00175752,0.001552749,0.00142394,0.001326999,0.001249395,0.001182967,0.001124804,0.00107346,0.001027709,9.87E-04,0.019884832,0.022826637,0.030819819,0.063534927,0.063701411,0.58594222,0.661505249,0.222356038,0.099493846,0.018976873,0.059343185,0.019933295,0.009635913,0.0197017,0.021053103,0.029111122,0.005475847,0.009234848,0.014483172,1.36E-04,0.01200013,0.007119785,0.006156019,0.005924596,0.005659592,0.00542206,0.005203921,0.005006737,0.004828438,0.004666352,0.004518512,0.004383306,0.018698771,0.036893282,0.063512945,-0.018194511,-0.026619663,0.044814174,0.1875,0.200923055,0.1875,0.379187419,0.1875,0.661505249,0.045583434,0.085166058,0.150789539,0.123479926,0.123211125,0.122837605,0.189873418
